zipcode,state,city,latitude,longitude,population,area_sq_miles,population_density,zcta,county_name
59801,MT,Missoula,46.8721,-113.994,32340,198.5,162.92191435768262,True,Missoula County
04101,ME,Portland,43.6591,-70.2568,18150,12.3,1475.6097560975609,True,Portland County
05602,VT,Montpelier,44.2601,-72.5806,7855,45.7,171.88183807439825,True,Montpelier County
03301,NH,Concord,43.2081,-71.5376,18267,89.4,204.32885906040266,True,Concord County
06103,CT,Hartford,41.7658,-72.6851,32986,5.8,5687.241379310345,True,Hartford County
02903,RI,Providence,41.824,-71.4128,28957,2.1,13789.047619047618,True,Providence County
40202,KY,Louisville,38.2527,-85.7585,4872,1.23,3960.9756097560976,True,Louisville County
37201,TN,Nashville,36.1627,-86.7816,8159,1.45,5626.896551724138,True,Nashville County
35203,AL,Birmingham,33.5185,-86.8104,2589,1.89,1369.8412698412699,True,Birmingham County
70112,LA,New Orleans,29.9511,-90.0715,3749,2.31,1622.9437229437228,True,New Orleans County
72201,AR,Little Rock,34.7465,-92.2896,2657,1.67,1591.0179640718563,True,Little Rock County
73102,OK,Oklahoma City,35.4676,-97.5164,2695,1.24,2173.3870967741937,True,Oklahoma City County
67202,KS,Wichita,37.6872,-97.3301,7945,3.45,2302.8985507246375,True,Wichita County
68102,NE,Omaha,41.2524,-95.998,11595,2.78,4170.863309352519,True,Omaha County
50309,IA,Des Moines,41.5868,-93.625,24986,3.12,8008.333333333333,True,Des Moines County
55101,MN,Saint Paul,44.9537,-93.09,17818,2.45,7272.65306122449,True,Saint Paul County
53202,WI,Milwaukee,43.0389,-87.9065,4721,1.34,3523.1343283582087,True,Milwaukee County
48226,MI,Detroit,42.3314,-83.0458,12926,4.67,2767.8800856531047,True,Detroit County
43215,OH,Columbus,39.9612,-82.9988,31029,3.89,7976.606683804627,True,Columbus County
46204,IN,Indianapolis,39.7684,-86.1581,18853,4.23,4456.973995271867,True,Indianapolis County
63101,MO,St Louis,38.627,-90.1994,3025,1.78,1699.438202247191,True,St Louis County
99901,AK,Ketchikan,55.3422,-131.6461,8263,4570.0,1.8080962800875273,True,Ketchikan County
96813,HI,Honolulu,21.3099,-157.8581,19235,1.23,15638.211382113821,True,Honolulu County
29201,SC,Columbia,34.0007,-81.0348,5277,2.31,2284.4155844155844,True,Columbia County
27601,NC,Raleigh,35.7796,-78.6382,5570,3.89,1431.8766066838045,True,Raleigh County
23219,VA,Richmond,37.5407,-77.436,5190,1.67,3107.784431137725,True,Richmond County
19102,PA,Philadelphia,39.9526,-75.1652,3456,1.23,2809.756097560976,True,Philadelphia County
07102,NJ,Newark,40.7214,-74.174,8913,1.04,8570.192307692307,True,Newark County
20001,DC,Washington,38.9072,-77.0369,4822,0.89,5417.9775280898875,True,Washington County
21201,MD,Baltimore,39.2904,-76.6122,8167,2.45,3333.4693877551017,True,Baltimore County
12201,NY,Albany,42.6526,-73.7562,10713,6.23,1719.5826645264847,True,Albany County
24016,VA,Roanoke,37.271,-79.9414,15678,43.2,362.91666666666663,True,Roanoke County
25401,WV,Martinsburg,39.4562,-77.9647,18250,67.8,269.1740412979351,True,Martinsburg County
